Protein  Threshold  TP  FP   N   Neg  TPR    FPR
1BGX.H   0.45       11  21  16  189  .687   .111
1DE4.E   0.45       7   5   21  78   .333   .064
1DFJ.E   0.45       0   3   18  106  0      .028
1DFJ.I   0.45       9   13  18  438  .500   .029
1DQJ.A   0.45       7   40  7   207  1.000  .193
1E4K.C   0.45       8   7   12  160  .666   .043
1E6J.H   0.45       3   26  5   214  .600   .121
1EXB.E   0.45       3   15  3   88   1.000  .170
1F34.A   0.45       10  25  22  303  .454   .082
1FC2.D   0.45       1   25  10  196  .100   .127
1FFW.A   0.45       2   13  8   120  .250   .108
1FFW.B   0.45       8   19  10  58   .800   .327
1FLE.E   0.45       3   24  11  218  .272   .110
1GHQ.A   0.45       1   41  5   302  .200   .135
1GXD.A   0.45       1   21  21  603  .047   .034
1GXD.C   0.45       6   10  18  174  .333   .057
1IRA.X   0.45       14  11  23  122  .608   .090
1JIW.I   0.45       9   33  15  90   .600   .366
1JIW.P   0.45       12  28  20  450  .600   .062
1JPS.H   0.45       8   33  10  203  .800   .162
1KAC.A   0.45       6   11  9   176  .666   .062
1KAC.B   0.45       3   4   12  112  .250   .035
1KLU.D   0.45       3   6   11  219  .272   .027
Protein     Threshold  TP         FP  N   Neg  TPR    FPR
1ACB.E      0.45       9          23  13  228  .692   .100
1ACB.I      0.45       6          0   11  52   .545   0
1AHW.A      0.45       7          30  8   206  .875   .145
1AK4.A      0.45       4          13  9   156  .444   .083
1AVX.A      0.45       10         2   19  201  .526   .009
1AY7.A      0.45       5          11  9   87   .555   .126
1AY7.B      0.45       1          2   9   80   .111   .025
1BGX.H      0.45       11         21  16  189  .687   .111
1DE4.E      0.45       7          5   21  78   .333   .064
1DFJ.E      0.45       0          3   18  106  0      .028
1DFJ.I      0.45       9          13  18  438  .500   .029
1DQJ.A      0.45       7          40  7   207  1.000  .193
1E4K.C      0.45       8          7   12  160  .666   .043
1E6J.H      0.45       3          26  5   214  .600   .121
1EXB.E      0.45       3          15  3   88   1.000  .170
1F34.A      0.45       10         25  22  303  .454   .082
1FC2.D      0.45       1          25  10  196  .100   .127
1FFW.A      0.45       2          13  8   120  .250   .108
1FFW.B      0.45       8          19  10  58   .800   .327
1FLE.E      0.45       3          24  11  218  .272   .110
1GHQ.A      0.45       1          41  5   302  .200   .135
1GXD.A      0.45       1          21  21  603  .047   .034
1GXD.C      0.45       6          10  18  174  .333   .057
1IRA.X      0.45       14         11  23  122  .608   .090
1JIW.I      0.45       9          33  15  90   .600   .366
1JIW.P      0.45       12         28  20  450  .600   .062
1JPS.H      0.45       8          33  10  203  .800   .162
1KAC.A      0.45       6          11  9   176  .666   .062
1KAC.B      0.45       3          4   12  112  .250   .035
1KLU.D      0.45       3          6   11  219  .272   .027
Global_TPR  =          .462
Global_FPR  =          .088
avg_TPR     =          0.476968
avg_FPR     =          0.0977742
Protein  Threshold  TP  FP  N   Neg  TPR   FPR
1ACB.E   0.5        9   16  13  228  .692  .070
1ACB.I   0.5        6   0   11  52   .545  0
1AHW.A   0.5        6   10  8   206  .750  .048
1AK4.A   0.5        4   10  9   156  .444  .064
1AVX.A   0.5        10  2   19  201  .526  .009
1AY7.A   0.5        5   9   9   87   .555  .103
1AY7.B   0.5        1   2   9   80   .111  .025
1BGX.H   0.5        6   3   16  189  .375  .015
1DE4.E   0.5        7   4   21  78   .333  .051
1DFJ.E   0.5        0   3   18  106  0     .028
1DFJ.I   0.5        9   8   18  438  .500  .018
1DQJ.A   0.5        5   23  7   207  .714  .111
1E4K.C   0.5        8   5   12  160  .666  .031
1E6J.H   0.5        3   20  5   214  .600  .093
1EXB.E   0.5        2   7   3   88   .666  .079
1F34.A   0.5        9   19  22  303  .409  .062
1FC2.D   0.5        1   19  10  196  .100  .096
1FFW.A   0.5        2   11  8   120  .250  .091
1FFW.B   0.5        7   14  10  58   .700  .241
1FLE.E   0.5        1   10  11  218  .090  .045
1GHQ.A   0.5        0   38  5   302  0     .125
1GXD.A   0.5        1   18  21  603  .047  .029
1GXD.C   0.5        6   9   18  174  .333  .051
1IRA.X   0.5        12  11  23  122  .521  .090
1JIW.I   0.5        4   19  15  90   .266  .211
1JIW.P   0.5        10  25  20  450  .500  .055
1JPS.H   0.5        7   10  10  203  .700  .049
1KAC.A   0.5        5   10  9   176  .555  .056
1KAC.B   0.5        3   4   12  112  .250  .035
1KLU.D   0.5        3   5   11  219  .272  .022
Protein     Threshold  TP         FP  N   Neg  TPR   FPR
1ACB.E      0.5        9          16  13  228  .692  .070
1ACB.I      0.5        6          0   11  52   .545  0
1AHW.A      0.5        6          10  8   206  .750  .048
1AK4.A      0.5        4          10  9   156  .444  .064
1AVX.A      0.5        10         2   19  201  .526  .009
1AY7.A      0.5        5          9   9   87   .555  .103
1AY7.B      0.5        1          2   9   80   .111  .025
1BGX.H      0.5        6          3   16  189  .375  .015
1DE4.E      0.5        7          4   21  78   .333  .051
1DFJ.E      0.5        0          3   18  106  0     .028
1DFJ.I      0.5        9          8   18  438  .500  .018
1DQJ.A      0.5        5          23  7   207  .714  .111
1E4K.C      0.5        8          5   12  160  .666  .031
1E6J.H      0.5        3          20  5   214  .600  .093
1EXB.E      0.5        2          7   3   88   .666  .079
1F34.A      0.5        9          19  22  303  .409  .062
1FC2.D      0.5        1          19  10  196  .100  .096
1FFW.A      0.5        2          11  8   120  .250  .091
1FFW.B      0.5        7          14  10  58   .700  .241
1FLE.E      0.5        1          10  11  218  .090  .045
1GHQ.A      0.5        0          38  5   302  0     .125
1GXD.A      0.5        1          18  21  603  .047  .029
1GXD.C      0.5        6          9   18  174  .333  .051
1IRA.X      0.5        12         11  23  122  .521  .090
1JIW.I      0.5        4          19  15  90   .266  .211
1JIW.P      0.5        10         25  20  450  .500  .055
1JPS.H      0.5        7          10  10  203  .700  .049
1KAC.A      0.5        5          10  9   176  .555  .056
1KAC.B      0.5        3          4   12  112  .250  .035
1KLU.D      0.5        3          5   11  219  .272  .022
Global_TPR  =          .396
Global_FPR  =          .058
avg_TPR     =          0.402258
avg_FPR     =          0.0646129
Protein  Threshold  TP  FP  N   Neg  TPR   FPR
1ACB.E   0.55       7   11  13  228  .538  .048
1ACB.I   0.55       6   0   11  52   .545  0
1AHW.A   0.55       6   7   8   206  .750  .033
1AK4.A   0.55       4   8   9   156  .444  .051
1AVX.A   0.55       10  1   19  201  .526  .004
1AY7.A   0.55       5   5   9   87   .555  .057
1AY7.B   0.55       0   1   9   80   0     .012
1BGX.H   0.55       6   3   16  189  .375  .015
1DE4.E   0.55       6   4   21  78   .285  .051
1DFJ.E   0.55       0   3   18  106  0     .028
1DFJ.I   0.55       9   8   18  438  .500  .018
1DQJ.A   0.55       4   11  7   207  .571  .053
1E4K.C   0.55       7   3   12  160  .583  .018
1E6J.H   0.55       2   19  5   214  .400  .088
1EXB.E   0.55       2   7   3   88   .666  .079
1F34.A   0.55       7   14  22  303  .318  .046
1FC2.D   0.55       1   14  10  196  .100  .071
1FFW.A   0.55       1   4   8   120  .125  .033
1FFW.B   0.55       6   9   10  58   .600  .155
1FLE.E   0.55       1   6   11  218  .090  .027
1GHQ.A   0.55       0   33  5   302  0     .109
1GXD.A   0.55       1   17  21  603  .047  .028
1GXD.C   0.55       6   7   18  174  .333  .040
1IRA.X   0.55       11  10  23  122  .478  .081
1JIW.I   0.55       4   14  15  90   .266  .155
1JIW.P   0.55       10  19  20  450  .500  .042
1JPS.H   0.55       4   9   10  203  .400  .044
1KAC.A   0.55       4   8   9   176  .444  .045
1KAC.B   0.55       2   3   12  112  .166  .026
1KLU.D   0.55       3   4   11  219  .272  .018
Protein     Threshold  TP         FP  N   Neg  TPR   FPR
1ACB.E      0.55       7          11  13  228  .538  .048
1ACB.I      0.55       6          0   11  52   .545  0
1AHW.A      0.55       6          7   8   206  .750  .033
1AK4.A      0.55       4          8   9   156  .444  .051
1AVX.A      0.55       10         1   19  201  .526  .004
1AY7.A      0.55       5          5   9   87   .555  .057
1AY7.B      0.55       0          1   9   80   0     .012
1BGX.H      0.55       6          3   16  189  .375  .015
1DE4.E      0.55       6          4   21  78   .285  .051
1DFJ.E      0.55       0          3   18  106  0     .028
1DFJ.I      0.55       9          8   18  438  .500  .018
1DQJ.A      0.55       4          11  7   207  .571  .053
1E4K.C      0.55       7          3   12  160  .583  .018
1E6J.H      0.55       2          19  5   214  .400  .088
1EXB.E      0.55       2          7   3   88   .666  .079
1F34.A      0.55       7          14  22  303  .318  .046
1FC2.D      0.55       1          14  10  196  .100  .071
1FFW.A      0.55       1          4   8   120  .125  .033
1FFW.B      0.55       6          9   10  58   .600  .155
1FLE.E      0.55       1          6   11  218  .090  .027
1GHQ.A      0.55       0          33  5   302  0     .109
1GXD.A      0.55       1          17  21  603  .047  .028
1GXD.C      0.55       6          7   18  174  .333  .040
1IRA.X      0.55       11         10  23  122  .478  .081
1JIW.I      0.55       4          14  15  90   .266  .155
1JIW.P      0.55       10         19  20  450  .500  .042
1JPS.H      0.55       4          9   10  203  .400  .044
1KAC.A      0.55       4          8   9   176  .444  .045
1KAC.B      0.55       2          3   12  112  .166  .026
1KLU.D      0.55       3          4   11  219  .272  .018
Global_TPR  =          .352
Global_FPR  =          .044
avg_TPR     =          0.350871
avg_FPR     =          0.0475806
Protein  Threshold  TP  FP  N   Neg  TPR   FPR
1ACB.E   0.6        6   8   13  228  .461  .035
1ACB.I   0.6        5   0   11  52   .454  0
1AHW.A   0.6        6   5   8   206  .750  .024
1AK4.A   0.6        3   6   9   156  .333  .038
1AVX.A   0.6        8   0   19  201  .421  0
1AY7.A   0.6        4   5   9   87   .444  .057
1AY7.B   0.6        0   1   9   80   0     .012
1BGX.H   0.6        5   3   16  189  .312  .015
1DE4.E   0.6        5   2   21  78   .238  .025
1DFJ.E   0.6        0   3   18  106  0     .028
1DFJ.I   0.6        7   4   18  438  .388  .009
1DQJ.A   0.6        3   5   7   207  .428  .024
1E4K.C   0.6        7   3   12  160  .583  .018
1E6J.H   0.6        2   18  5   214  .400  .084
1EXB.E   0.6        2   4   3   88   .666  .045
1F34.A   0.6        4   10  22  303  .181  .033
1FC2.D   0.6        0   12  10  196  0     .061
1FFW.A   0.6        0   4   8   120  0     .033
1FFW.B   0.6        6   5   10  58   .600  .086
1FLE.E   0.6        0   6   11  218  0     .027
1GHQ.A   0.6        0   28  5   302  0     .092
1GXD.A   0.6        1   16  21  603  .047  .026
1GXD.C   0.6        3   6   18  174  .166  .034
1IRA.X   0.6        10  8   23  122  .434  .065
1JIW.I   0.6        4   12  15  90   .266  .133
1JIW.P   0.6        6   16  20  450  .300  .035
1JPS.H   0.6        3   6   10  203  .300  .029
1KAC.A   0.6        2   6   9   176  .222  .034
1KAC.B   0.6        2   2   12  112  .166  .017
1KLU.D   0.6        3   4   11  219  .272  .018
Protein     Threshold  TP         FP  N   Neg  TPR   FPR
1ACB.E      0.6        6          8   13  228  .461  .035
1ACB.I      0.6        5          0   11  52   .454  0
1AHW.A      0.6        6          5   8   206  .750  .024
1AK4.A      0.6        3          6   9   156  .333  .038
1AVX.A      0.6        8          0   19  201  .421  0
1AY7.A      0.6        4          5   9   87   .444  .057
1AY7.B      0.6        0          1   9   80   0     .012
1BGX.H      0.6        5          3   16  189  .312  .015
1DE4.E      0.6        5          2   21  78   .238  .025
1DFJ.E      0.6        0          3   18  106  0     .028
1DFJ.I      0.6        7          4   18  438  .388  .009
1DQJ.A      0.6        3          5   7   207  .428  .024
1E4K.C      0.6        7          3   12  160  .583  .018
1E6J.H      0.6        2          18  5   214  .400  .084
1EXB.E      0.6        2          4   3   88   .666  .045
1F34.A      0.6        4          10  22  303  .181  .033
1FC2.D      0.6        0          12  10  196  0     .061
1FFW.A      0.6        0          4   8   120  0     .033
1FFW.B      0.6        6          5   10  58   .600  .086
1FLE.E      0.6        0          6   11  218  0     .027
1GHQ.A      0.6        0          28  5   302  0     .092
1GXD.A      0.6        1          16  21  603  .047  .026
1GXD.C      0.6        3          6   18  174  .166  .034
1IRA.X      0.6        10         8   23  122  .434  .065
1JIW.I      0.6        4          12  15  90   .266  .133
1JIW.P      0.6        6          16  20  450  .300  .035
1JPS.H      0.6        3          6   10  203  .300  .029
1KAC.A      0.6        2          6   9   176  .222  .034
1KAC.B      0.6        2          2   12  112  .166  .017
1KLU.D      0.6        3          4   11  219  .272  .018
Global_TPR  =          .279
Global_FPR  =          .035
avg_TPR     =          0.284903
avg_FPR     =          0.0366774
Protein  Threshold  TP  FP  N   Neg  TPR   FPR
1ACB.E   0.65       6   3   13  228  .461  .013
1ACB.I   0.65       5   0   11  52   .454  0
1AHW.A   0.65       5   1   8   206  .625  .004
1AK4.A   0.65       3   2   9   156  .333  .012
1AVX.A   0.65       6   0   19  201  .315  0
1AY7.A   0.65       1   4   9   87   .111  .045
1AY7.B   0.65       0   1   9   80   0     .012
1BGX.H   0.65       5   2   16  189  .312  .010
1DE4.E   0.65       4   2   21  78   .190  .025
1DFJ.E   0.65       0   3   18  106  0     .028
1DFJ.I   0.65       5   3   18  438  .277  .006
1DQJ.A   0.65       2   5   7   207  .285  .024
1E4K.C   0.65       6   2   12  160  .500  .012
1E6J.H   0.65       2   14  5   214  .400  .065
1EXB.E   0.65       2   2   3   88   .666  .022
1F34.A   0.65       4   6   22  303  .181  .019
1FC2.D   0.65       0   11  10  196  0     .056
1FFW.A   0.65       0   4   8   120  0     .033
1FFW.B   0.65       4   5   10  58   .400  .086
1FLE.E   0.65       0   5   11  218  0     .022
1GHQ.A   0.65       0   24  5   302  0     .079
1GXD.A   0.65       1   13  21  603  .047  .021
1GXD.C   0.65       3   4   18  174  .166  .022
1IRA.X   0.65       7   6   23  122  .304  .049
1JIW.I   0.65       4   8   15  90   .266  .088
1JIW.P   0.65       6   13  20  450  .300  .028
1JPS.H   0.65       3   6   10  203  .300  .029
1KAC.A   0.65       1   2   9   176  .111  .011
1KAC.B   0.65       1   2   12  112  .083  .017
1KLU.D   0.65       3   4   11  219  .272  .018
Protein     Threshold  TP         FP  N   Neg  TPR   FPR
1ACB.E      0.65       6          3   13  228  .461  .013
1ACB.I      0.65       5          0   11  52   .454  0
1AHW.A      0.65       5          1   8   206  .625  .004
1AK4.A      0.65       3          2   9   156  .333  .012
1AVX.A      0.65       6          0   19  201  .315  0
1AY7.A      0.65       1          4   9   87   .111  .045
1AY7.B      0.65       0          1   9   80   0     .012
1BGX.H      0.65       5          2   16  189  .312  .010
1DE4.E      0.65       4          2   21  78   .190  .025
1DFJ.E      0.65       0          3   18  106  0     .028
1DFJ.I      0.65       5          3   18  438  .277  .006
1DQJ.A      0.65       2          5   7   207  .285  .024
1E4K.C      0.65       6          2   12  160  .500  .012
1E6J.H      0.65       2          14  5   214  .400  .065
1EXB.E      0.65       2          2   3   88   .666  .022
1F34.A      0.65       4          6   22  303  .181  .019
1FC2.D      0.65       0          11  10  196  0     .056
1FFW.A      0.65       0          4   8   120  0     .033
1FFW.B      0.65       4          5   10  58   .400  .086
1FLE.E      0.65       0          5   11  218  0     .022
1GHQ.A      0.65       0          24  5   302  0     .079
1GXD.A      0.65       1          13  21  603  .047  .021
1GXD.C      0.65       3          4   18  174  .166  .022
1IRA.X      0.65       7          6   23  122  .304  .049
1JIW.I      0.65       4          8   15  90   .266  .088
1JIW.P      0.65       6          13  20  450  .300  .028
1JPS.H      0.65       3          6   10  203  .300  .029
1KAC.A      0.65       1          2   9   176  .111  .011
1KAC.B      0.65       1          2   12  112  .083  .017
1KLU.D      0.65       3          4   11  219  .272  .018
Global_TPR  =          .232
Global_FPR  =          .026
avg_TPR     =          0.237387
avg_FPR     =          0.0276129
Protein  Threshold  TP  FP  N   Neg  TPR   FPR
1ACB.E   0.7        4   3   13  228  .307  .013
1ACB.I   0.7        3   0   11  52   .272  0
1AHW.A   0.7        5   1   8   206  .625  .004
1AK4.A   0.7        3   2   9   156  .333  .012
1AVX.A   0.7        5   0   19  201  .263  0
1AY7.A   0.7        1   2   9   87   .111  .022
1AY7.B   0.7        0   1   9   80   0     .012
1BGX.H   0.7        5   1   16  189  .312  .005
1DE4.E   0.7        2   1   21  78   .095  .012
1DFJ.E   0.7        0   2   18  106  0     .018
1DFJ.I   0.7        4   2   18  438  .222  .004
1DQJ.A   0.7        2   4   7   207  .285  .019
1E4K.C   0.7        6   1   12  160  .500  .006
1E6J.H   0.7        2   9   5   214  .400  .042
1EXB.E   0.7        0   2   3   88   0     .022
1F34.A   0.7        3   5   22  303  .136  .016
1FC2.D   0.7        0   8   10  196  0     .040
1FFW.A   0.7        0   3   8   120  0     .025
1FFW.B   0.7        4   2   10  58   .400  .034
1FLE.E   0.7        0   4   11  218  0     .018
1GHQ.A   0.7        0   21  5   302  0     .069
1GXD.A   0.7        1   8   21  603  .047  .013
1GXD.C   0.7        3   4   18  174  .166  .022
1IRA.X   0.7        6   6   23  122  .260  .049
1JIW.I   0.7        3   6   15  90   .200  .066
1JIW.P   0.7        6   11  20  450  .300  .024
1JPS.H   0.7        1   5   10  203  .100  .024
1KAC.A   0.7        1   2   9   176  .111  .011
1KAC.B   0.7        0   2   12  112  0     .017
1KLU.D   0.7        3   3   11  219  .272  .013
Protein     Threshold  TP         FP  N   Neg  TPR   FPR
1ACB.E      0.7        4          3   13  228  .307  .013
1ACB.I      0.7        3          0   11  52   .272  0
1AHW.A      0.7        5          1   8   206  .625  .004
1AK4.A      0.7        3          2   9   156  .333  .012
1AVX.A      0.7        5          0   19  201  .263  0
1AY7.A      0.7        1          2   9   87   .111  .022
1AY7.B      0.7        0          1   9   80   0     .012
1BGX.H      0.7        5          1   16  189  .312  .005
1DE4.E      0.7        2          1   21  78   .095  .012
1DFJ.E      0.7        0          2   18  106  0     .018
1DFJ.I      0.7        4          2   18  438  .222  .004
1DQJ.A      0.7        2          4   7   207  .285  .019
1E4K.C      0.7        6          1   12  160  .500  .006
1E6J.H      0.7        2          9   5   214  .400  .042
1EXB.E      0.7        0          2   3   88   0     .022
1F34.A      0.7        3          5   22  303  .136  .016
1FC2.D      0.7        0          8   10  196  0     .040
1FFW.A      0.7        0          3   8   120  0     .025
1FFW.B      0.7        4          2   10  58   .400  .034
1FLE.E      0.7        0          4   11  218  0     .018
1GHQ.A      0.7        0          21  5   302  0     .069
1GXD.A      0.7        1          8   21  603  .047  .013
1GXD.C      0.7        3          4   18  174  .166  .022
1IRA.X      0.7        6          6   23  122  .260  .049
1JIW.I      0.7        3          6   15  90   .200  .066
1JIW.P      0.7        6          11  20  450  .300  .024
1JPS.H      0.7        1          5   10  203  .100  .024
1KAC.A      0.7        1          2   9   176  .111  .011
1KAC.B      0.7        0          2   12  112  0     .017
1KLU.D      0.7        3          3   11  219  .272  .013
Global_TPR  =          .190
Global_FPR  =          .020
avg_TPR     =          0.184419
avg_FPR     =          0.0203871
Protein  Threshold  TP  FP  N   Neg  TPR   FPR
1ACB.E   0.75       3   2   13  228  .230  .008
1ACB.I   0.75       1   0   11  52   .090  0
1AHW.A   0.75       5   1   8   206  .625  .004
1AK4.A   0.75       2   1   9   156  .222  .006
1AVX.A   0.75       5   0   19  201  .263  0
1AY7.A   0.75       0   2   9   87   0     .022
1AY7.B   0.75       0   1   9   80   0     .012
1BGX.H   0.75       4   1   16  189  .250  .005
1DE4.E   0.75       2   0   21  78   .095  0
1DFJ.E   0.75       0   2   18  106  0     .018
1DFJ.I   0.75       2   1   18  438  .111  .002
1DQJ.A   0.75       1   3   7   207  .142  .014
1E4K.C   0.75       1   1   12  160  .083  .006
1E6J.H   0.75       2   7   5   214  .400  .032
1EXB.E   0.75       0   2   3   88   0     .022
1F34.A   0.75       2   4   22  303  .090  .013
1FC2.D   0.75       0   8   10  196  0     .040
1FFW.A   0.75       0   1   8   120  0     .008
1FFW.B   0.75       2   2   10  58   .200  .034
1FLE.E   0.75       0   3   11  218  0     .013
1GHQ.A   0.75       0   9   5   302  0     .029
1GXD.A   0.75       1   6   21  603  .047  .009
1GXD.C   0.75       2   3   18  174  .111  .017
1IRA.X   0.75       5   4   23  122  .217  .032
1JIW.I   0.75       3   5   15  90   .200  .055
1JIW.P   0.75       6   8   20  450  .300  .017
1JPS.H   0.75       1   5   10  203  .100  .024
1KAC.A   0.75       1   2   9   176  .111  .011
1KAC.B   0.75       0   2   12  112  0     .017
1KLU.D   0.75       3   3   11  219  .272  .013
Protein     Threshold  TP         FP  N   Neg  TPR   FPR
1ACB.E      0.75       3          2   13  228  .230  .008
1ACB.I      0.75       1          0   11  52   .090  0
1AHW.A      0.75       5          1   8   206  .625  .004
1AK4.A      0.75       2          1   9   156  .222  .006
1AVX.A      0.75       5          0   19  201  .263  0
1AY7.A      0.75       0          2   9   87   0     .022
1AY7.B      0.75       0          1   9   80   0     .012
1BGX.H      0.75       4          1   16  189  .250  .005
1DE4.E      0.75       2          0   21  78   .095  0
1DFJ.E      0.75       0          2   18  106  0     .018
1DFJ.I      0.75       2          1   18  438  .111  .002
1DQJ.A      0.75       1          3   7   207  .142  .014
1E4K.C      0.75       1          1   12  160  .083  .006
1E6J.H      0.75       2          7   5   214  .400  .032
1EXB.E      0.75       0          2   3   88   0     .022
1F34.A      0.75       2          4   22  303  .090  .013
1FC2.D      0.75       0          8   10  196  0     .040
1FFW.A      0.75       0          1   8   120  0     .008
1FFW.B      0.75       2          2   10  58   .200  .034
1FLE.E      0.75       0          3   11  218  0     .013
1GHQ.A      0.75       0          9   5   302  0     .029
1GXD.A      0.75       1          6   21  603  .047  .009
1GXD.C      0.75       2          3   18  174  .111  .017
1IRA.X      0.75       5          4   23  122  .217  .032
1JIW.I      0.75       3          5   15  90   .200  .055
1JIW.P      0.75       6          8   20  450  .300  .017
1JPS.H      0.75       1          5   10  203  .100  .024
1KAC.A      0.75       1          2   9   176  .111  .011
1KAC.B      0.75       0          2   12  112  0     .017
1KLU.D      0.75       3          3   11  219  .272  .013
Global_TPR  =          .140
Global_FPR  =          .015
avg_TPR     =          0.134161
avg_FPR     =          0.0155806
Protein  Threshold  TP  FP  N   Neg  TPR   FPR
1ACB.E   0.8        2   0   13  228  .153  0
1ACB.I   0.8        1   0   11  52   .090  0
1AHW.A   0.8        5   0   8   206  .625  0
1AK4.A   0.8        2   1   9   156  .222  .006
1AVX.A   0.8        3   0   19  201  .157  0
1AY7.A   0.8        0   1   9   87   0     .011
1AY7.B   0.8        0   1   9   80   0     .012
1BGX.H   0.8        3   1   16  189  .187  .005
1DE4.E   0.8        2   0   21  78   .095  0
1DFJ.E   0.8        0   2   18  106  0     .018
1DFJ.I   0.8        1   1   18  438  .055  .002
1DQJ.A   0.8        1   3   7   207  .142  .014
1E4K.C   0.8        1   0   12  160  .083  0
1E6J.H   0.8        2   7   5   214  .400  .032
1EXB.E   0.8        0   1   3   88   0     .011
1F34.A   0.8        1   4   22  303  .045  .013
1FC2.D   0.8        0   5   10  196  0     .025
1FFW.A   0.8        0   1   8   120  0     .008
1FFW.B   0.8        0   1   10  58   0     .017
1FLE.E   0.8        0   3   11  218  0     .013
1GHQ.A   0.8        0   7   5   302  0     .023
1GXD.A   0.8        0   4   21  603  0     .006
1GXD.C   0.8        2   3   18  174  .111  .017
1IRA.X   0.8        5   3   23  122  .217  .024
1JIW.I   0.8        1   4   15  90   .066  .044
1JIW.P   0.8        6   6   20  450  .300  .013
1JPS.H   0.8        0   4   10  203  0     .019
1KAC.A   0.8        0   2   9   176  0     .011
1KAC.B   0.8        0   2   12  112  0     .017
1KLU.D   0.8        3   3   11  219  .272  .013
Protein     Threshold  TP         FP  N   Neg  TPR   FPR
1ACB.E      0.8        2          0   13  228  .153  0
1ACB.I      0.8        1          0   11  52   .090  0
1AHW.A      0.8        5          0   8   206  .625  0
1AK4.A      0.8        2          1   9   156  .222  .006
1AVX.A      0.8        3          0   19  201  .157  0
1AY7.A      0.8        0          1   9   87   0     .011
1AY7.B      0.8        0          1   9   80   0     .012
1BGX.H      0.8        3          1   16  189  .187  .005
1DE4.E      0.8        2          0   21  78   .095  0
1DFJ.E      0.8        0          2   18  106  0     .018
1DFJ.I      0.8        1          1   18  438  .055  .002
1DQJ.A      0.8        1          3   7   207  .142  .014
1E4K.C      0.8        1          0   12  160  .083  0
1E6J.H      0.8        2          7   5   214  .400  .032
1EXB.E      0.8        0          1   3   88   0     .011
1F34.A      0.8        1          4   22  303  .045  .013
1FC2.D      0.8        0          5   10  196  0     .025
1FFW.A      0.8        0          1   8   120  0     .008
1FFW.B      0.8        0          1   10  58   0     .017
1FLE.E      0.8        0          3   11  218  0     .013
1GHQ.A      0.8        0          7   5   302  0     .023
1GXD.A      0.8        0          4   21  603  0     .006
1GXD.C      0.8        2          3   18  174  .111  .017
1IRA.X      0.8        5          3   23  122  .217  .024
1JIW.I      0.8        1          4   15  90   .066  .044
1JIW.P      0.8        6          6   20  450  .300  .013
1JPS.H      0.8        0          4   10  203  0     .019
1KAC.A      0.8        0          2   9   176  0     .011
1KAC.B      0.8        0          2   12  112  0     .017
1KLU.D      0.8        3          3   11  219  .272  .013
Global_TPR  =          .107
Global_FPR  =          .011
avg_TPR     =          0.103871
avg_FPR     =          0.0120645
Protein  Threshold  TP  FP  N   Neg  TPR   FPR
1ACB.E   0.85       2   0   13  228  .153  0
1ACB.I   0.85       1   0   11  52   .090  0
1AHW.A   0.85       5   0   8   206  .625  0
1AK4.A   0.85       2   1   9   156  .222  .006
1AVX.A   0.85       3   0   19  201  .157  0
1AY7.A   0.85       0   1   9   87   0     .011
1AY7.B   0.85       0   1   9   80   0     .012
1BGX.H   0.85       2   1   16  189  .125  .005
1DE4.E   0.85       2   0   21  78   .095  0
1DFJ.E   0.85       0   2   18  106  0     .018
1DFJ.I   0.85       1   1   18  438  .055  .002
1DQJ.A   0.85       1   1   7   207  .142  .004
1E4K.C   0.85       1   0   12  160  .083  0
1E6J.H   0.85       1   4   5   214  .200  .018
1EXB.E   0.85       0   1   3   88   0     .011
1F34.A   0.85       1   3   22  303  .045  .009
1FC2.D   0.85       0   4   10  196  0     .020
1FFW.A   0.85       0   1   8   120  0     .008
1FFW.B   0.85       0   1   10  58   0     .017
1FLE.E   0.85       0   2   11  218  0     .009
1GHQ.A   0.85       0   3   5   302  0     .009
1GXD.A   0.85       0   3   21  603  0     .004
1GXD.C   0.85       2   2   18  174  .111  .011
1IRA.X   0.85       4   3   23  122  .173  .024
1JIW.I   0.85       1   2   15  90   .066  .022
1JIW.P   0.85       5   6   20  450  .250  .013
1JPS.H   0.85       0   4   10  203  0     .019
1KAC.A   0.85       0   1   9   176  0     .005
1KAC.B   0.85       0   1   12  112  0     .008
1KLU.D   0.85       3   3   11  219  .272  .013
Protein     Threshold  TP          FP  N   Neg  TPR   FPR
1ACB.E      0.85       2           0   13  228  .153  0
1ACB.I      0.85       1           0   11  52   .090  0
1AHW.A      0.85       5           0   8   206  .625  0
1AK4.A      0.85       2           1   9   156  .222  .006
1AVX.A      0.85       3           0   19  201  .157  0
1AY7.A      0.85       0           1   9   87   0     .011
1AY7.B      0.85       0           1   9   80   0     .012
1BGX.H      0.85       2           1   16  189  .125  .005
1DE4.E      0.85       2           0   21  78   .095  0
1DFJ.E      0.85       0           2   18  106  0     .018
1DFJ.I      0.85       1           1   18  438  .055  .002
1DQJ.A      0.85       1           1   7   207  .142  .004
1E4K.C      0.85       1           0   12  160  .083  0
1E6J.H      0.85       1           4   5   214  .200  .018
1EXB.E      0.85       0           1   3   88   0     .011
1F34.A      0.85       1           3   22  303  .045  .009
1FC2.D      0.85       0           4   10  196  0     .020
1FFW.A      0.85       0           1   8   120  0     .008
1FFW.B      0.85       0           1   10  58   0     .017
1FLE.E      0.85       0           2   11  218  0     .009
1GHQ.A      0.85       0           3   5   302  0     .009
1GXD.A      0.85       0           3   21  603  0     .004
1GXD.C      0.85       2           2   18  174  .111  .011
