Protein  Threshold  TP  FP   N   Neg  TPR    FPR
1DQJ.A   0.45       1   3   8   173  .125  .017
1E4K.C   0.45       8   4   12  129  .666  .031
1E6J.H   0.45       1   11  5   177  .200  .062
1EXB.E   0.45       1   2   3   73   .333  .027
1F34.A   0.45       1   13  23  212  .043  .061
1FC2.D   0.45       7   21  10  164  .700  .128
1FFW.A   0.45       0   2   8   90   0     .022
1FFW.B   0.45       0   2   10  49   0     .040
1FLE.E   0.45       0   5   11  156  0     .032
1GHQ.A   0.45       0   4   5   192  0     .020
1GXD.A   0.45       0   13  21  483  0     .026
1GXD.C   0.45       6   8   18  149  .333  .053
1IRA.X   0.45       3   1   23  90   .130  .011
1JIW.I   0.45       5   16  15  69   .333  .231
1JIW.P   0.45       4   13  20  312  .200  .041
1JPS.H   0.45       0   7   8   168  0     .041
1KAC.A   0.45       1   15  9   134  .111  .111
1KAC.B   0.45       4   2   12  89   .333  .022
1KLU.D   0.45       1   5   11  154  .090  .032
Protein     Threshold  TP         FP  N   Neg  TPR   FPR
1ACB.E      0.45       3          0   13  159  .230  0
1ACB.I      0.45       2          0   11  44   .181  0
1AHW.A      0.45       5          1   9   163  .555  .006
1AK4.A      0.45       3          12  9   110  .333  .109
1AVX.A      0.45       7          1   19  139  .368  .007
1AY7.A      0.45       0          2   9   76   0     .026
1AY7.B      0.45       3          5   9   58   .333  .086
1BGX.H      0.45       6          1   17  162  .352  .006
1DE4.E      0.45       6          2   21  66   .285  .030
1DFJ.E      0.45       0          3   18  85   0     .035
1DFJ.I      0.45       1          1   18  307  .055  .003
1DQJ.A      0.45       1          3   8   173  .125  .017
1E4K.C      0.45       8          4   12  129  .666  .031
1E6J.H      0.45       1          11  5   177  .200  .062
1EXB.E      0.45       1          2   3   73   .333  .027
1F34.A      0.45       1          13  23  212  .043  .061
1FC2.D      0.45       7          21  10  164  .700  .128
1FFW.A      0.45       0          2   8   90   0     .022
1FFW.B      0.45       0          2   10  49   0     .040
1FLE.E      0.45       0          5   11  156  0     .032
1GHQ.A      0.45       0          4   5   192  0     .020
1GXD.A      0.45       0          13  21  483  0     .026
1GXD.C      0.45       6          8   18  149  .333  .053
1IRA.X      0.45       3          1   23  90   .130  .011
1JIW.I      0.45       5          16  15  69   .333  .231
1JIW.P      0.45       4          13  20  312  .200  .041
1JPS.H      0.45       0          7   8   168  0     .041
1KAC.A      0.45       1          15  9   134  .111  .111
1KAC.B      0.45       4          2   12  89   .333  .022
1KLU.D      0.45       1          5   11  154  .090  .032
Global_TPR  =          .205
Global_FPR  =          .039
avg_TPR     =          0.202871
avg_FPR     =          0.0424516
Protein  Threshold  TP  FP  N   Neg  TPR   FPR
1ACB.E   0.5        1   0   13  159  .076  0
1ACB.I   0.5        2   0   11  44   .181  0
1AHW.A   0.5        5   1   9   163  .555  .006
1AK4.A   0.5        2   6   9   110  .222  .054
1AVX.A   0.5        6   1   19  139  .315  .007
1AY7.A   0.5        0   1   9   76   0     .013
1AY7.B   0.5        1   1   9   58   .111  .017
1BGX.H   0.5        6   1   17  162  .352  .006
1DE4.E   0.5        6   1   21  66   .285  .015
1DFJ.E   0.5        0   3   18  85   0     .035
1DFJ.I   0.5        1   1   18  307  .055  .003
1DQJ.A   0.5        1   3   8   173  .125  .017
1E4K.C   0.5        8   4   12  129  .666  .031
1E6J.H   0.5        1   10  5   177  .200  .056
1EXB.E   0.5        1   2   3   73   .333  .027
1F34.A   0.5        1   10  23  212  .043  .047
1FC2.D   0.5        6   14  10  164  .600  .085
1FFW.A   0.5        0   1   8   90   0     .011
1FFW.B   0.5        0   2   10  49   0     .040
1FLE.E   0.5        0   5   11  156  0     .032
1GHQ.A   0.5        0   4   5   192  0     .020
1GXD.A   0.5        0   12  21  483  0     .024
1GXD.C   0.5        5   8   18  149  .277  .053
1IRA.X   0.5        2   1   23  90   .086  .011
1JIW.I   0.5        5   12  15  69   .333  .173
1JIW.P   0.5        4   13  20  312  .200  .041
1JPS.H   0.5        0   6   8   168  0     .035
1KAC.A   0.5        0   12  9   134  0     .089
1KAC.B   0.5        4   2   12  89   .333  .022
1KLU.D   0.5        1   4   11  154  .090  .025
Protein     Threshold  TP         FP  N   Neg  TPR   FPR
1ACB.E      0.5        1          0   13  159  .076  0
1ACB.I      0.5        2          0   11  44   .181  0
1AHW.A      0.5        5          1   9   163  .555  .006
1AK4.A      0.5        2          6   9   110  .222  .054
1AVX.A      0.5        6          1   19  139  .315  .007
1AY7.A      0.5        0          1   9   76   0     .013
1AY7.B      0.5        1          1   9   58   .111  .017
1BGX.H      0.5        6          1   17  162  .352  .006
1DE4.E      0.5        6          1   21  66   .285  .015
1DFJ.E      0.5        0          3   18  85   0     .035
1DFJ.I      0.5        1          1   18  307  .055  .003
1DQJ.A      0.5        1          3   8   173  .125  .017
1E4K.C      0.5        8          4   12  129  .666  .031
1E6J.H      0.5        1          10  5   177  .200  .056
1EXB.E      0.5        1          2   3   73   .333  .027
1F34.A      0.5        1          10  23  212  .043  .047
1FC2.D      0.5        6          14  10  164  .600  .085
1FFW.A      0.5        0          1   8   90   0     .011
1FFW.B      0.5        0          2   10  49   0     .040
1FLE.E      0.5        0          5   11  156  0     .032
1GHQ.A      0.5        0          4   5   192  0     .020
1GXD.A      0.5        0          12  21  483  0     .024
1GXD.C      0.5        5          8   18  149  .277  .053
1IRA.X      0.5        2          1   23  90   .086  .011
1JIW.I      0.5        5          12  15  69   .333  .173
1JIW.P      0.5        4          13  20  312  .200  .041
1JPS.H      0.5        0          6   8   168  0     .035
1KAC.A      0.5        0          12  9   134  0     .089
1KAC.B      0.5        4          2   12  89   .333  .022
1KLU.D      0.5        1          4   11  154  .090  .025
Global_TPR  =          .179
Global_FPR  =          .031
avg_TPR     =          0.175419
avg_FPR     =          0.0320968
Protein  Threshold  TP  FP  N   Neg  TPR   FPR
1ACB.E   0.55       1   0   13  159  .076  0
1ACB.I   0.55       2   0   11  44   .181  0
1AHW.A   0.55       5   0   9   163  .555  0
1AK4.A   0.55       2   6   9   110  .222  .054
1AVX.A   0.55       6   1   19  139  .315  .007
1AY7.A   0.55       0   1   9   76   0     .013
1AY7.B   0.55       1   1   9   58   .111  .017
1BGX.H   0.55       4   1   17  162  .235  .006
1DE4.E   0.55       6   1   21  66   .285  .015
1DFJ.E   0.55       0   3   18  85   0     .035
1DFJ.I   0.55       1   1   18  307  .055  .003
1DQJ.A   0.55       1   3   8   173  .125  .017
1E4K.C   0.55       7   3   12  129  .583  .023
1E6J.H   0.55       1   10  5   177  .200  .056
1EXB.E   0.55       1   2   3   73   .333  .027
1F34.A   0.55       0   8   23  212  0     .037
1FC2.D   0.55       5   12  10  164  .500  .073
1FFW.A   0.55       0   1   8   90   0     .011
1FFW.B   0.55       0   2   10  49   0     .040
1FLE.E   0.55       0   5   11  156  0     .032
1GHQ.A   0.55       0   4   5   192  0     .020
1GXD.A   0.55       0   12  21  483  0     .024
1GXD.C   0.55       5   8   18  149  .277  .053
1IRA.X   0.55       2   1   23  90   .086  .011
1JIW.I   0.55       4   10  15  69   .266  .144
1JIW.P   0.55       4   13  20  312  .200  .041
1JPS.H   0.55       0   6   8   168  0     .035
1KAC.A   0.55       0   4   9   134  0     .029
1KAC.B   0.55       4   1   12  89   .333  .011
1KLU.D   0.55       1   3   11  154  .090  .019
Protein     Threshold  TP         FP  N   Neg  TPR   FPR
1ACB.E      0.55       1          0   13  159  .076  0
1ACB.I      0.55       2          0   11  44   .181  0
1AHW.A      0.55       5          0   9   163  .555  0
1AK4.A      0.55       2          6   9   110  .222  .054
1AVX.A      0.55       6          1   19  139  .315  .007
1AY7.A      0.55       0          1   9   76   0     .013
1AY7.B      0.55       1          1   9   58   .111  .017
1BGX.H      0.55       4          1   17  162  .235  .006
1DE4.E      0.55       6          1   21  66   .285  .015
1DFJ.E      0.55       0          3   18  85   0     .035
1DFJ.I      0.55       1          1   18  307  .055  .003
1DQJ.A      0.55       1          3   8   173  .125  .017
1E4K.C      0.55       7          3   12  129  .583  .023
1E6J.H      0.55       1          10  5   177  .200  .056
1EXB.E      0.55       1          2   3   73   .333  .027
1F34.A      0.55       0          8   23  212  0     .037
1FC2.D      0.55       5          12  10  164  .500  .073
1FFW.A      0.55       0          1   8   90   0     .011
1FFW.B      0.55       0          2   10  49   0     .040
1FLE.E      0.55       0          5   11  156  0     .032
1GHQ.A      0.55       0          4   5   192  0     .020
1GXD.A      0.55       0          12  21  483  0     .024
1GXD.C      0.55       5          8   18  149  .277  .053
1IRA.X      0.55       2          1   23  90   .086  .011
1JIW.I      0.55       4          10  15  69   .266  .144
1JIW.P      0.55       4          13  20  312  .200  .041
1JPS.H      0.55       0          6   8   168  0     .035
1KAC.A      0.55       0          4   9   134  0     .029
1KAC.B      0.55       4          1   12  89   .333  .011
1KLU.D      0.55       1          3   11  154  .090  .019
Global_TPR  =          .163
Global_FPR  =          .027
avg_TPR     =          0.162194
avg_FPR     =          0.0275161
Protein  Threshold  TP  FP  N   Neg  TPR   FPR
1ACB.E   0.6        1   0   13  159  .076  0
1ACB.I   0.6        2   0   11  44   .181  0
1AHW.A   0.6        5   0   9   163  .555  0
1AK4.A   0.6        1   6   9   110  .111  .054
1AVX.A   0.6        6   0   19  139  .315  0
1AY7.A   0.6        0   1   9   76   0     .013
1AY7.B   0.6        1   1   9   58   .111  .017
1BGX.H   0.6        4   1   17  162  .235  .006
1DE4.E   0.6        4   1   21  66   .190  .015
1DFJ.E   0.6        0   2   18  85   0     .023
1DFJ.I   0.6        0   1   18  307  0     .003
1DQJ.A   0.6        1   3   8   173  .125  .017
1E4K.C   0.6        7   3   12  129  .583  .023
1E6J.H   0.6        1   8   5   177  .200  .045
1EXB.E   0.6        1   2   3   73   .333  .027
1F34.A   0.6        0   7   23  212  0     .033
1FC2.D   0.6        5   12  10  164  .500  .073
1FFW.A   0.6        0   1   8   90   0     .011
1FFW.B   0.6        0   2   10  49   0     .040
1FLE.E   0.6        0   4   11  156  0     .025
1GHQ.A   0.6        0   2   5   192  0     .010
1GXD.A   0.6        0   12  21  483  0     .024
1GXD.C   0.6        3   8   18  149  .166  .053
1IRA.X   0.6        2   1   23  90   .086  .011
1JIW.I   0.6        3   9   15  69   .200  .130
1JIW.P   0.6        0   3   20  312  0     .009
1JPS.H   0.6        0   4   8   168  0     .023
1KAC.A   0.6        0   4   9   134  0     .029
1KAC.B   0.6        3   1   12  89   .250  .011
1KLU.D   0.6        1   3   11  154  .090  .019
Protein     Threshold  TP        FP  N   Neg  TPR   FPR
1ACB.E      0.6        1         0   13  159  .076  0
1ACB.I      0.6        2         0   11  44   .181  0
1AHW.A      0.6        5         0   9   163  .555  0
1AK4.A      0.6        1         6   9   110  .111  .054
1AVX.A      0.6        6         0   19  139  .315  0
1AY7.A      0.6        0         1   9   76   0     .013
1AY7.B      0.6        1         1   9   58   .111  .017
1BGX.H      0.6        4         1   17  162  .235  .006
1DE4.E      0.6        4         1   21  66   .190  .015
1DFJ.E      0.6        0         2   18  85   0     .023
1DFJ.I      0.6        0         1   18  307  0     .003
1DQJ.A      0.6        1         3   8   173  .125  .017
1E4K.C      0.6        7         3   12  129  .583  .023
1E6J.H      0.6        1         8   5   177  .200  .045
1EXB.E      0.6        1         2   3   73   .333  .027
1F34.A      0.6        0         7   23  212  0     .033
1FC2.D      0.6        5         12  10  164  .500  .073
1FFW.A      0.6        0         1   8   90   0     .011
1FFW.B      0.6        0         2   10  49   0     .040
1FLE.E      0.6        0         4   11  156  0     .025
1GHQ.A      0.6        0         2   5   192  0     .010
1GXD.A      0.6        0         12  21  483  0     .024
1GXD.C      0.6        3         8   18  149  .166  .053
1IRA.X      0.6        2         1   23  90   .086  .011
1JIW.I      0.6        3         9   15  69   .200  .130
1JIW.P      0.6        0         3   20  312  0     .009
1JPS.H      0.6        0         4   8   168  0     .023
1KAC.A      0.6        0         4   9   134  0     .029
1KAC.B      0.6        3         1   12  89   .250  .011
1KLU.D      0.6        1         3   11  154  .090  .019
Global_TPR  =          .132
Global_FPR  =          .023
avg_TPR     =          0.138935
avg_FPR     =          0.024
Protein  Threshold  TP  FP  N   Neg  TPR   FPR
1ACB.E   0.65       1   0   13  159  .076  0
1ACB.I   0.65       1   0   11  44   .090  0
1AHW.A   0.65       5   0   9   163  .555  0
1AK4.A   0.65       1   6   9   110  .111  .054
1AVX.A   0.65       6   0   19  139  .315  0
1AY7.A   0.65       0   1   9   76   0     .013
1AY7.B   0.65       1   1   9   58   .111  .017
1BGX.H   0.65       3   1   17  162  .176  .006
1DE4.E   0.65       4   1   21  66   .190  .015
1DFJ.E   0.65       0   2   18  85   0     .023
1DFJ.I   0.65       0   1   18  307  0     .003
1DQJ.A   0.65       1   1   8   173  .125  .005
1E4K.C   0.65       5   2   12  129  .416  .015
1E6J.H   0.65       1   8   5   177  .200  .045
1EXB.E   0.65       1   2   3   73   .333  .027
1F34.A   0.65       0   4   23  212  0     .018
1FC2.D   0.65       4   11  10  164  .400  .067
1FFW.A   0.65       0   1   8   90   0     .011
1FFW.B   0.65       0   1   10  49   0     .020
1FLE.E   0.65       0   3   11  156  0     .019
1GHQ.A   0.65       0   2   5   192  0     .010
1GXD.A   0.65       0   10  21  483  0     .020
1GXD.C   0.65       3   4   18  149  .166  .026
1IRA.X   0.65       1   1   23  90   .043  .011
1JIW.I   0.65       3   9   15  69   .200  .130
1JIW.P   0.65       0   2   20  312  0     .006
1JPS.H   0.65       0   4   8   168  0     .023
1KAC.A   0.65       0   4   9   134  0     .029
1KAC.B   0.65       3   1   12  89   .250  .011
1KLU.D   0.65       1   1   11  154  .090  .006
Protein     Threshold  TP         FP  N   Neg  TPR   FPR
1ACB.E      0.65       1          0   13  159  .076  0
1ACB.I      0.65       1          0   11  44   .090  0
1AHW.A      0.65       5          0   9   163  .555  0
1AK4.A      0.65       1          6   9   110  .111  .054
1AVX.A      0.65       6          0   19  139  .315  0
1AY7.A      0.65       0          1   9   76   0     .013
1AY7.B      0.65       1          1   9   58   .111  .017
1BGX.H      0.65       3          1   17  162  .176  .006
1DE4.E      0.65       4          1   21  66   .190  .015
1DFJ.E      0.65       0          2   18  85   0     .023
1DFJ.I      0.65       0          1   18  307  0     .003
1DQJ.A      0.65       1          1   8   173  .125  .005
1E4K.C      0.65       5          2   12  129  .416  .015
1E6J.H      0.65       1          8   5   177  .200  .045
1EXB.E      0.65       1          2   3   73   .333  .027
1F34.A      0.65       0          4   23  212  0     .018
1FC2.D      0.65       4          11  10  164  .400  .067
1FFW.A      0.65       0          1   8   90   0     .011
1FFW.B      0.65       0          1   10  49   0     .020
1FLE.E      0.65       0          3   11  156  0     .019
1GHQ.A      0.65       0          2   5   192  0     .010
1GXD.A      0.65       0          10  21  483  0     .020
1GXD.C      0.65       3          4   18  149  .166  .026
1IRA.X      0.65       1          1   23  90   .043  .011
1JIW.I      0.65       3          9   15  69   .200  .130
1JIW.P      0.65       0          2   20  312  0     .006
1JPS.H      0.65       0          4   8   168  0     .023
1KAC.A      0.65       0          4   9   134  0     .029
1KAC.B      0.65       3          1   12  89   .250  .011
1KLU.D      0.65       1          1   11  154  .090  .006
Global_TPR  =          .116
Global_FPR  =          .018
avg_TPR     =          0.124097
avg_FPR     =          0.0203226
Protein  Threshold  TP  FP  N   Neg  TPR   FPR
1ACB.E   0.7        1   0   13  159  .076  0
1ACB.I   0.7        1   0   11  44   .090  0
1AHW.A   0.7        5   0   9   163  .555  0
1AK4.A   0.7        1   4   9   110  .111  .036
1AVX.A   0.7        3   0   19  139  .157  0
1AY7.A   0.7        0   1   9   76   0     .013
1AY7.B   0.7        1   1   9   58   .111  .017
1BGX.H   0.7        3   1   17  162  .176  .006
1DE4.E   0.7        2   1   21  66   .095  .015
1DFJ.E   0.7        0   2   18  85   0     .023
1DFJ.I   0.7        0   1   18  307  0     .003
1DQJ.A   0.7        1   1   8   173  .125  .005
1E4K.C   0.7        4   1   12  129  .333  .007
1E6J.H   0.7        1   7   5   177  .200  .039
1EXB.E   0.7        1   2   3   73   .333  .027
1F34.A   0.7        0   4   23  212  0     .018
1FC2.D   0.7        2   8   10  164  .200  .048
1FFW.A   0.7        0   1   8   90   0     .011
1FFW.B   0.7        0   1   10  49   0     .020
1FLE.E   0.7        0   3   11  156  0     .019
1GHQ.A   0.7        0   1   5   192  0     .005
1GXD.A   0.7        0   8   21  483  0     .016
1GXD.C   0.7        3   4   18  149  .166  .026
1IRA.X   0.7        1   1   23  90   .043  .011
1JIW.I   0.7        3   9   15  69   .200  .130
1JIW.P   0.7        0   2   20  312  0     .006
1JPS.H   0.7        0   4   8   168  0     .023
1KAC.A   0.7        0   2   9   134  0     .014
1KAC.B   0.7        3   1   12  89   .250  .011
1KLU.D   0.7        1   1   11  154  .090  .006
Protein     Threshold  TP         FP  N   Neg  TPR   FPR
1ACB.E      0.7        1          0   13  159  .076  0
1ACB.I      0.7        1          0   11  44   .090  0
1AHW.A      0.7        5          0   9   163  .555  0
1AK4.A      0.7        1          4   9   110  .111  .036
1AVX.A      0.7        3          0   19  139  .157  0
1AY7.A      0.7        0          1   9   76   0     .013
1AY7.B      0.7        1          1   9   58   .111  .017
1BGX.H      0.7        3          1   17  162  .176  .006
1DE4.E      0.7        2          1   21  66   .095  .015
1DFJ.E      0.7        0          2   18  85   0     .023
1DFJ.I      0.7        0          1   18  307  0     .003
1DQJ.A      0.7        1          1   8   173  .125  .005
1E4K.C      0.7        4          1   12  129  .333  .007
1E6J.H      0.7        1          7   5   177  .200  .039
1EXB.E      0.7        1          2   3   73   .333  .027
1F34.A      0.7        0          4   23  212  0     .018
1FC2.D      0.7        2          8   10  164  .200  .048
1FFW.A      0.7        0          1   8   90   0     .011
1FFW.B      0.7        0          1   10  49   0     .020
1FLE.E      0.7        0          3   11  156  0     .019
1GHQ.A      0.7        0          1   5   192  0     .005
1GXD.A      0.7        0          8   21  483  0     .016
1GXD.C      0.7        3          4   18  149  .166  .026
1IRA.X      0.7        1          1   23  90   .043  .011
1JIW.I      0.7        3          9   15  69   .200  .130
1JIW.P      0.7        0          2   20  312  0     .006
1JPS.H      0.7        0          4   8   168  0     .023
1KAC.A      0.7        0          2   9   134  0     .014
1KAC.B      0.7        3          1   12  89   .250  .011
1KLU.D      0.7        1          1   11  154  .090  .006
Global_TPR  =          .096
Global_FPR  =          .016
avg_TPR     =          0.106806
avg_FPR     =          0.0179032
Protein  Threshold  TP  FP  N   Neg  TPR   FPR
1ACB.E   0.75       1   0   13  159  .076  0
1ACB.I   0.75       1   0   11  44   .090  0
1AHW.A   0.75       5   0   9   163  .555  0
1AK4.A   0.75       1   4   9   110  .111  .036
1AVX.A   0.75       3   0   19  139  .157  0
1AY7.A   0.75       0   1   9   76   0     .013
1AY7.B   0.75       1   1   9   58   .111  .017
1BGX.H   0.75       3   1   17  162  .176  .006
1DE4.E   0.75       2   1   21  66   .095  .015
1DFJ.E   0.75       0   2   18  85   0     .023
1DFJ.I   0.75       0   1   18  307  0     .003
1DQJ.A   0.75       1   1   8   173  .125  .005
1E4K.C   0.75       1   1   12  129  .083  .007
1E6J.H   0.75       1   4   5   177  .200  .022
1EXB.E   0.75       1   1   3   73   .333  .013
1F34.A   0.75       0   4   23  212  0     .018
1FC2.D   0.75       1   1   10  164  .100  .006
1FFW.A   0.75       0   1   8   90   0     .011
1FFW.B   0.75       0   1   10  49   0     .020
1FLE.E   0.75       0   3   11  156  0     .019
1GHQ.A   0.75       0   1   5   192  0     .005
1GXD.A   0.75       0   2   21  483  0     .004
1GXD.C   0.75       3   3   18  149  .166  .020
1IRA.X   0.75       1   1   23  90   .043  .011
1JIW.I   0.75       3   8   15  69   .200  .115
1JIW.P   0.75       0   2   20  312  0     .006
1JPS.H   0.75       0   4   8   168  0     .023
1KAC.A   0.75       0   1   9   134  0     .007
1KAC.B   0.75       3   1   12  89   .250  .011
1KLU.D   0.75       1   0   11  154  .090  0
Protein     Threshold  TP         FP  N   Neg  TPR   FPR
1ACB.E      0.75       1          0   13  159  .076  0
1ACB.I      0.75       1          0   11  44   .090  0
1AHW.A      0.75       5          0   9   163  .555  0
1AK4.A      0.75       1          4   9   110  .111  .036
1AVX.A      0.75       3          0   19  139  .157  0
1AY7.A      0.75       0          1   9   76   0     .013
1AY7.B      0.75       1          1   9   58   .111  .017
1BGX.H      0.75       3          1   17  162  .176  .006
1DE4.E      0.75       2          1   21  66   .095  .015
1DFJ.E      0.75       0          2   18  85   0     .023
1DFJ.I      0.75       0          1   18  307  0     .003
1DQJ.A      0.75       1          1   8   173  .125  .005
1E4K.C      0.75       1          1   12  129  .083  .007
1E6J.H      0.75       1          4   5   177  .200  .022
1EXB.E      0.75       1          1   3   73   .333  .013
1F34.A      0.75       0          4   23  212  0     .018
1FC2.D      0.75       1          1   10  164  .100  .006
1FFW.A      0.75       0          1   8   90   0     .011
1FFW.B      0.75       0          1   10  49   0     .020
1FLE.E      0.75       0          3   11  156  0     .019
1GHQ.A      0.75       0          1   5   192  0     .005
1GXD.A      0.75       0          2   21  483  0     .004
1GXD.C      0.75       3          3   18  149  .166  .020
1IRA.X      0.75       1          1   23  90   .043  .011
1JIW.I      0.75       3          8   15  69   .200  .115
1JIW.P      0.75       0          2   20  312  0     .006
1JPS.H      0.75       0          4   8   168  0     .023
1KAC.A      0.75       0          1   9   134  0     .007
1KAC.B      0.75       3          1   12  89   .250  .011
1KLU.D      0.75       1          0   11  154  .090  0
Global_TPR  =          .085
Global_FPR  =          .011
avg_TPR     =          0.0955161
avg_FPR     =          0.0140645
Protein  Threshold  TP  FP  N   Neg  TPR   FPR
1ACB.E   0.8        1   0   13  159  .076  0
1ACB.I   0.8        1   0   11  44   .090  0
1AHW.A   0.8        5   0   9   163  .555  0
1AK4.A   0.8        1   3   9   110  .111  .027
1AVX.A   0.8        3   0   19  139  .157  0
1AY7.A   0.8        0   1   9   76   0     .013
1AY7.B   0.8        0   1   9   58   0     .017
1BGX.H   0.8        2   1   17  162  .117  .006
1DE4.E   0.8        2   1   21  66   .095  .015
1DFJ.E   0.8        0   2   18  85   0     .023
1DFJ.I   0.8        0   1   18  307  0     .003
1DQJ.A   0.8        1   1   8   173  .125  .005
1E4K.C   0.8        1   0   12  129  .083  0
1E6J.H   0.8        1   4   5   177  .200  .022
1EXB.E   0.8        1   1   3   73   .333  .013
1F34.A   0.8        0   4   23  212  0     .018
1FC2.D   0.8        1   1   10  164  .100  .006
1FFW.A   0.8        0   1   8   90   0     .011
1FFW.B   0.8        0   1   10  49   0     .020
1FLE.E   0.8        0   3   11  156  0     .019
1GHQ.A   0.8        0   1   5   192  0     .005
1GXD.A   0.8        0   1   21  483  0     .002
1GXD.C   0.8        3   3   18  149  .166  .020
1IRA.X   0.8        0   1   23  90   0     .011
1JIW.I   0.8        1   5   15  69   .066  .072
1JIW.P   0.8        0   2   20  312  0     .006
1JPS.H   0.8        0   1   8   168  0     .005
1KAC.A   0.8        0   1   9   134  0     .007
1KAC.B   0.8        3   1   12  89   .250  .011
1KLU.D   0.8        1   0   11  154  .090  0
Protein     Threshold  TP         FP  N   Neg  TPR   FPR
1ACB.E      0.8        1          0   13  159  .076  0
1ACB.I      0.8        1          0   11  44   .090  0
1AHW.A      0.8        5          0   9   163  .555  0
1AK4.A      0.8        1          3   9   110  .111  .027
1AVX.A      0.8        3          0   19  139  .157  0
1AY7.A      0.8        0          1   9   76   0     .013
1AY7.B      0.8        0          1   9   58   0     .017
1BGX.H      0.8        2          1   17  162  .117  .006
1DE4.E      0.8        2          1   21  66   .095  .015
1DFJ.E      0.8        0          2   18  85   0     .023
1DFJ.I      0.8        0          1   18  307  0     .003
1DQJ.A      0.8        1          1   8   173  .125  .005
1E4K.C      0.8        1          0   12  129  .083  0
1E6J.H      0.8        1          4   5   177  .200  .022
1EXB.E      0.8        1          1   3   73   .333  .013
1F34.A      0.8        0          4   23  212  0     .018
1FC2.D      0.8        1          1   10  164  .100  .006
1FFW.A      0.8        0          1   8   90   0     .011
1FFW.B      0.8        0          1   10  49   0     .020
1FLE.E      0.8        0          3   11  156  0     .019
1GHQ.A      0.8        0          1   5   192  0     .005
1GXD.A      0.8        0          1   21  483  0     .002
1GXD.C      0.8        3          3   18  149  .166  .020
1IRA.X      0.8        0          1   23  90   0     .011
1JIW.I      0.8        1          5   15  69   .066  .072
1JIW.P      0.8        0          2   20  312  0     .006
1JPS.H      0.8        0          1   8   168  0     .005
1KAC.A      0.8        0          1   9   134  0     .007
1KAC.B      0.8        3          1   12  89   .250  .011
1KLU.D      0.8        1          0   11  154  .090  0
Global_TPR  =          .072
Global_FPR  =          .009
avg_TPR     =          0.0843226
avg_FPR     =          0.0115161
Protein  Threshold  TP  FP  N   Neg  TPR   FPR
1ACB.E   0.85       1   0   13  159  .076  0
1ACB.I   0.85       1   0   11  44   .090  0
1AHW.A   0.85       2   0   9   163  .222  0
1AK4.A   0.85       1   3   9   110  .111  .027
1AVX.A   0.85       3   0   19  139  .157  0
1AY7.A   0.85       0   1   9   76   0     .013
1AY7.B   0.85       0   1   9   58   0     .017
1BGX.H   0.85       2   1   17  162  .117  .006
1DE4.E   0.85       2   1   21  66   .095  .015
1DFJ.E   0.85       0   2   18  85   0     .023
1DFJ.I   0.85       0   1   18  307  0     .003
1DQJ.A   0.85       1   1   8   173  .125  .005
1E4K.C   0.85       1   0   12  129  .083  0
1E6J.H   0.85       1   4   5   177  .200  .022
1EXB.E   0.85       1   1   3   73   .333  .013
1F34.A   0.85       0   3   23  212  0     .014
1FC2.D   0.85       1   1   10  164  .100  .006
1FFW.A   0.85       0   1   8   90   0     .011
1FFW.B   0.85       0   1   10  49   0     .020
1FLE.E   0.85       0   3   11  156  0     .019
1GHQ.A   0.85       0   1   5   192  0     .005
1GXD.A   0.85       0   1   21  483  0     .002
1GXD.C   0.85       3   3   18  149  .166  .020
1IRA.X   0.85       0   1   23  90   0     .011
1JIW.I   0.85       1   4   15  69   .066  .057
1JIW.P   0.85       0   2   20  312  0     .006
1JPS.H   0.85       0   1   8   168  0     .005
1KAC.A   0.85       0   1   9   134  0     .007
1KAC.B   0.85       3   1   12  89   .250  .011
1KLU.D   0.85       1   0   11  154  .090  0
Protein     Threshold  TP         FP  N   Neg  TPR   FPR
1ACB.E      0.85       1          0   13  159  .076  0
1ACB.I      0.85       1          0   11  44   .090  0
1AHW.A      0.85       2          0   9   163  .222  0
1AK4.A      0.85       1          3   9   110  .111  .027
1AVX.A      0.85       3          0   19  139  .157  0
1AY7.A      0.85       0          1   9   76   0     .013
1AY7.B      0.85       0          1   9   58   0     .017
1BGX.H      0.85       2          1   17  162  .117  .006
1DE4.E      0.85       2          1   21  66   .095  .015
1DFJ.E      0.85       0          2   18  85   0     .023
1DFJ.I      0.85       0          1   18  307  0     .003
1DQJ.A      0.85       1          1   8   173  .125  .005
1E4K.C      0.85       1          0   12  129  .083  0
1E6J.H      0.85       1          4   5   177  .200  .022
1EXB.E      0.85       1          1   3   73   .333  .013
1F34.A      0.85       0          3   23  212  0     .014
1FC2.D      0.85       1          1   10  164  .100  .006
1FFW.A      0.85       0          1   8   90   0     .011
1FFW.B      0.85       0          1   10  49   0     .020
1FLE.E      0.85       0          3   11  156  0     .019
1GHQ.A      0.85       0          1   5   192  0     .005
1GXD.A      0.85       0          1   21  483  0     .002
1GXD.C      0.85       3          3   18  149  .166  .020
1IRA.X      0.85       0          1   23  90   0     .011
1JIW.I      0.85       1          4   15  69   .066  .057
1JIW.P      0.85       0          2   20  312  0     .006
1JPS.H      0.85       0          1   8   168  0     .005
1KAC.A      0.85       0          1   9   134  0     .007
1KAC.B      0.85       3          1   12  89   .250  .011
1KLU.D      0.85       1          0   11  154  .090  0
Global_TPR  =          .064
Global_FPR  =          .009
avg_TPR     =          0.0735806
